spec,outcome,term,coef,se,z,p_value,r2,n_obs,n_events,include_relief
spec_a_any_own,upgrade_any,region_NORTH CENTRAL__NORTH CENTRAL,-0.16783493916030787,0.07956903100509528,-2.109299774551237,0.034918714252458516,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_NORTH CENTRAL__SOUTH CENTRAL,-0.17925168560750054,0.10079516726024385,-1.7783757939970395,0.07534215552077206,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_NORTH CENTRAL__WEST,-0.2945173846063914,0.07432277333505243,-3.9626802309796183,7.411301883375465e-05,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_NORTH__NORTH,-0.2581807139923592,0.07496194167639264,-3.444157237907655,0.0005728424547986055,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_NORTH__NORTH CENTRAL,-0.15275387584735967,0.09574079684579295,-1.595494093217086,0.11060178983172286,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_NORTH__WEST,-0.27519678388899066,0.08061222918462597,-3.4138341871021605,0.000640555470092341,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_SOUTH CENTRAL__SOUTH CENTRAL,0.008356214299565068,0.09309998878520806,0.08975526644631264,0.9284816968528755,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_SOUTH CENTRAL__WEST,-0.29461190197635523,0.07484507966305491,-3.936289510314755,8.275113568756431e-05,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_SOUTH__SOUTH,-0.035278702536942985,0.09161215321295613,-0.3850875817200391,0.7001725282520572,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_SOUTH__SOUTH CENTRAL,-0.09601438606863344,0.11261333322370483,-0.8526022924648025,0.3938798908665855,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_UNKNOWN,-0.24875270031789304,0.07534099773649618,-3.3016910817653526,0.0009610385037177593,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,region_WEST__WEST,-0.2753727636591457,0.07575028244480608,-3.6352704540711187,0.00027768915838422004,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,year_2020,0.017239135049308518,0.022026849927569432,0.7826418714430667,0.43383744596611873,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,year_2021,0.01786758322216192,0.020980880911501548,0.8516126323545861,0.3944291259943773,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,year_2022,0.009756080541733825,0.022766987742227292,0.4285187242244893,0.6682735043229786,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,year_2023,-0.043151796863703795,0.019168660667503376,-2.251163897791723,0.02437515856282646,0.12533702861438378,1800,215,0
spec_a_any_own,upgrade_any,year_2024,0.08608355453176675,0.0252123073221328,3.4143465503531165,0.0006393519675520487,0.12533702861438378,1800,215,0
spec_b_any_relief,upgrade_any,const,0.29437968908162926,0.11508086967876878,2.5580245431177797,0.010526866236525212,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,lagged_binding_share,-0.034374575254952196,0.04204183377042761,-0.8176278761449127,0.41356970503682433,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,log_avg_length_km,-0.00110126309791813,0.019896429070591637,-0.055349786336578194,0.9558597991662394,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,log_n_lines,0.038560049272477664,0.01910033510252137,2.0188153278728334,0.043506417322703106,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,has_promoted_lines,-0.011704413147206771,0.025215887116062263,-0.46416820845264567,0.6425272364892554,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,relief_stress,-0.10975778321534513,0.12102312500504672,-0.9069157915957646,0.3644513296320906,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,voltage_below_345,-0.03660312983004416,0.030089316494491116,-1.2164825956330918,0.22380113706300597,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_COAST__SOUTH,-0.2940813964668776,0.08064000329644733,-3.646842565045302,0.0002654824698564706,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_COAST__SOUTH CENTRAL,-0.1932839351874689,0.11083918846704803,-1.7438230815352036,0.08118994437750571,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_EAST__EAST,-0.31251273781830036,0.08127759187968601,-3.8450048849984166,0.00012055003697875044,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_EAST__NORTH,-0.3331512782523418,0.08608817107173761,-3.8698844928965395,0.00010888692993904492,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_EAST__NORTH CENTRAL,-0.3126948137428047,0.0783699983799765,-3.989981117859741,6.607855545381902e-05,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_EAST__SOUTH CENTRAL,-0.27852315153044493,0.07595542878446285,-3.666928829021614,0.0002454810831558074,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_FAR WEST__FAR WEST,0.022836980602910728,0.1000702651901741,0.22820945422210284,0.8194834119457406,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_FAR WEST__WEST,-0.09748367939689384,0.09196884764743744,-1.0599641279686085,0.2891609192336828,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_NORTH CENTRAL__NORTH CENTRAL,-0.1777897778894566,0.08109270070639267,-2.1924264001660156,0.02834873209722555,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_NORTH CENTRAL__SOUTH CENTRAL,-0.16915683265111925,0.09449804503823318,-1.7900564247935467,0.07344484099340476,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_NORTH CENTRAL__WEST,-0.31500431202148915,0.0803951866309298,-3.9181986537027336,8.92131702177057e-05,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_NORTH__NORTH,-0.27936425255671415,0.08121969650619919,-3.4396121208774937,0.000582548429708174,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_NORTH__NORTH CENTRAL,-0.1712355731168389,0.10052307880224574,-1.7034453695325278,0.08848475334975703,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_NORTH__WEST,-0.29514623466944756,0.08619770999896129,-3.4240612038649774,0.0006169272501532763,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_SOUTH CENTRAL__SOUTH CENTRAL,-0.000455416768795569,0.09478916180419006,-0.004804523640965857,0.9961665595130369,0.1264413582221997,1800,215,1
spec_b_any_relief,upgrade_any,region_SOUTH CENTRAL__WEST,-0.3077491627953597,0.0778254388349157,-3.9543517826884482,7.674242754052152e-05,0.1264413582221997,1800,215,1
