spec,outcome,term,coef,se,z,p_value,pseudo_r2,n_obs,n_events,include_relief,status
spec_a_any_own,upgrade_any,region_FAR WEST__WEST,-0.42189051855655596,0.46349613886315666,-0.9102352386178466,0.36269846384115345,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_NORTH CENTRAL__NORTH CENTRAL,-1.0973150878704947,0.4427896131657126,-2.4781861526183273,0.013205222928941647,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_NORTH CENTRAL__SOUTH CENTRAL,-1.1819456715118768,0.7310375013063535,-1.6168057991549776,0.10592020724094178,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_NORTH CENTRAL__WEST,-24.654244460634814,0.7011585380028243,-35.16215395573705,7.579565885773954e-271,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_NORTH__NORTH,-2.248000327198025,0.4454188991278813,-5.04693521446789,4.4895349981623906e-07,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_NORTH__NORTH CENTRAL,-0.9772883275875051,0.6033081735622791,-1.6198824587723248,0.10525752859639947,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_NORTH__WEST,-2.6758848323348707,1.0160428024502874,-2.63363396294104,0.00844765036721416,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_SOUTH CENTRAL__SOUTH CENTRAL,-0.0008921704472032621,0.46150190604166813,-0.0019331890844297179,0.9984575392371735,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_SOUTH CENTRAL__WEST,-24.677746249439753,0.8096578808886719,-30.479226883277814,4.9126474259990124e-204,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_SOUTH__SOUTH,-0.059408344664362185,0.48845756784394867,-0.12162437144047245,0.9031965111589666,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_SOUTH__SOUTH CENTRAL,-0.5044925099899206,0.6748132758706319,-0.747603119305905,0.45469958267657695,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_UNKNOWN,-2.2235830805593086,0.4642209455224608,-4.789924069575881,1.6684443607191887e-06,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,region_WEST__WEST,-2.99089729735983,0.7921255438612335,-3.775786957684302,0.00015950327803741904,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,year_2020,0.1881125259822307,0.24440940038947026,0.7696615829115836,0.4415006643058311,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,year_2021,0.2052127835194598,0.2335422568519645,0.8786965848734521,0.3795658108525084,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,year_2022,0.12200207851593328,0.2616717507656693,0.46624092267868783,0.6410430603471151,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,year_2023,-0.6402659725215422,0.2831390334878579,-2.2613129833580476,0.023739882822441546,0.17756014398603082,1800,215,0,ok
spec_a_any_own,upgrade_any,year_2024,0.8213715823251658,0.24001796615477117,3.4221254162095494,0.0006213364621848342,0.17756014398603082,1800,215,0,ok
spec_b_any_relief,upgrade_any,const,-0.9188681485675518,0.91170638292601,-1.0078553422194512,0.31352391315587613,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,lagged_binding_share,-0.49943172957957327,0.524593514734345,-0.9520356534191741,0.34107890046384315,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,log_avg_length_km,-0.020899418034297568,0.21274803296004358,-0.09823554062294296,0.9217452615994447,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,log_n_lines,0.41725991951791697,0.20687705577546595,2.01694633536737,0.04370111390658431,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,has_promoted_lines,-0.46579330616518105,0.9691917722912513,-0.48059973215002255,0.6308010058578475,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,relief_stress,-0.9558356823700779,0.9706656603017607,-0.98472184755452,0.32476071816847674,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,voltage_below_345,-0.7519038915040989,0.5779564479808907,-1.3009698120522732,0.19326878801504843,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_COAST__SOUTH,-24.640629738241635,0.8397868789945131,-29.341527421509795,3.064895553451248e-189,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_COAST__SOUTH CENTRAL,-1.3173462245985414,0.9713230935964672,-1.3562389623836415,0.1750231489396572,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_EAST__EAST,-24.84652242943386,0.5238266608774937,-47.43271827327755,0.0,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_EAST__NORTH,-25.076983095052164,1.1233389343461808,-22.32361251650889,2.1794865653652494e-110,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_EAST__NORTH CENTRAL,-24.868155856594353,0.6478217833135331,-38.387341236654045,0.0,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_EAST__SOUTH CENTRAL,-24.487985539688705,1.0912209456418012,-22.440904967495932,1.5701712945853904e-111,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_FAR WEST__FAR WEST,0.12694530238745538,0.486583174764372,0.26089126992302736,0.7941763573645685,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_FAR WEST__WEST,-0.5969077035638279,0.4956009814936438,-1.2044118673148418,0.22843042746664388,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_NORTH CENTRAL__NORTH CENTRAL,-1.1899877985349792,0.456706625504703,-2.6055847059804154,0.009171759196552524,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_NORTH CENTRAL__SOUTH CENTRAL,-1.1057050661319556,0.6727232100050141,-1.6436255649982916,0.10025356986530094,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_NORTH CENTRAL__WEST,-24.83552320560121,0.7307918272847592,-33.98440195736321,3.787413535812656e-253,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_NORTH__NORTH,-2.4370501770851214,0.4921426024747249,-4.951918742312665,7.348529044696209e-07,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_NORTH__NORTH CENTRAL,-1.1342017119108194,0.6377571620514241,-1.778422539799507,0.07533448349026446,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_NORTH__WEST,-2.848747399230234,1.0330716314925859,-2.7575506987006824,0.005823618178770983,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_SOUTH CENTRAL__SOUTH CENTRAL,-0.077653319915466,0.4732173503778575,-0.16409651897476052,0.8696551621240556,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_SOUTH CENTRAL__WEST,-24.78776611546905,0.8196168687693428,-30.243113654661546,6.4268962094070625e-201,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_SOUTH__SOUTH,-0.19004468643725864,0.5165989578340795,-0.36787663535762866,0.7129652227189498,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_SOUTH__SOUTH CENTRAL,-0.6287885631983902,0.6945365470852329,-0.905335458353102,0.3652876968909522,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_UNKNOWN,-2.4211309827950114,0.5287217035222678,-4.579216186257885,4.667216125268865e-06,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,region_WEST__WEST,-3.135164999865473,0.8042315867989017,-3.898336065541059,9.685593679553795e-05,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,year_2020,0.20523644115828152,0.2473598693953378,0.829707913656223,0.4067039460686174,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,year_2021,0.23975602443643196,0.2394902929366526,1.001109571066622,0.31677383833482287,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,year_2022,0.2113708637127815,0.2885629745887015,0.7324947492451361,0.4638666464117277,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,year_2023,-0.5387672192023147,0.30771467256231766,-1.750866199248932,0.07996896027599844,0.1790761330557903,1800,215,1,ok
spec_b_any_relief,upgrade_any,year_2024,0.9010063593294255,0.25936943364515264,3.473834008374735,0.0005130783350012237,0.1790761330557903,1800,215,1,ok
spec_c_station_relief,upgrade_station,const,-0.8905223248392801,0.9140294191069038,-0.9742819062754101,0.3299165860342087,0.17582430658788561,1800,210,1,ok
spec_c_station_relief,upgrade_station,lagged_binding_share,-0.40442672784747974,0.5191924050576436,-0.7789534744880908,0.4360071219867221,0.17582430658788561,1800,210,1,ok
spec_c_station_relief,upgrade_station,log_avg_length_km,-0.03716402598115,0.2107977131467283,-0.1763018460986886,0.8600568117741042,0.17582430658788561,1800,210,1,ok
spec_c_station_relief,upgrade_station,log_n_lines,0.41238098064692097,0.20740459468086211,1.988292406354162,0.04677936013898956,0.17582430658788561,1800,210,1,ok
spec_c_station_relief,upgrade_station,has_promoted_lines,-0.48133730288966925,0.9650041249205806,-0.49879300042295993,0.6179252191509388,0.17582430658788561,1800,210,1,ok
spec_c_station_relief,upgrade_station,relief_stress,-0.8675031699769669,0.9665013803025422,-0.8975705442918394,0.3694145485615036,0.17582430658788561,1800,210,1,ok
spec_c_station_relief,upgrade_station,voltage_below_345,-0.73789941044668,0.5757768627884257,-1.2815718347436056,0.1999928856711718,0.17582430658788561,1800,210,1,ok
spec_c_station_relief,upgrade_station,region_COAST__SOUTH,-24.62780122451109,0.8397496058650114,-29.32755318073942,4.62010159383251e-189,0.17582430658788561,1800,210,1,ok
