corridor_id,county_k1,county_k2,n_lines,avg_length_km,max_effective_voltage_kv,year,allocated_shadow_cost_total,allocated_n_binding_total,allocated_n_intervals_total,n_constraints_exposed_year,binding_share_corridor_year,stressed_corridor_year,corridor_exposed_year
CRANE__UPTON,CRANE,UPTON,1,8.767155226136127,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CROCKETT__PECOS,CROCKETT,PECOS,2,49.17087006044802,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
CROCKETT__SCHLEICHER,CROCKETT,SCHLEICHER,1,89.57458489475992,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DALLAS__DENTON,DALLAS,DENTON,5,11.467330008842112,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DALLAS__ELLIS,DALLAS,ELLIS,2,38.18537163376591,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DALLAS__KAUFMAN,DALLAS,KAUFMAN,7,25.954833192565054,345.0,2018,0.0,0.0,3.727272727272727,1,0.0,0,1
DALLAS__TARRANT,DALLAS,TARRANT,4,19.7918573766574,345.0,2018,360.80173,21.0,137.0,1,0.15328467153284672,1,1
DEAF SMITH__OLDHAM,DEAF SMITH,OLDHAM,1,37.55977538926532,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DEAF SMITH__RANDALL,DEAF SMITH,RANDALL,1,53.75309441409637,230.0,2018,0.0,0.0,0.0,0,0.0,0,0
DENTON__TARRANT,DENTON,TARRANT,2,6.184300065854895,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DENTON__WISE,DENTON,WISE,3,49.663203143183615,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DEWITT__GOLIAD,DEWITT,GOLIAD,1,19.2082881149864,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DEWITT__GONZALES,DEWITT,GONZALES,1,24.80010609342065,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DEWITT__KARNES,DEWITT,KARNES,1,19.2082881149864,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DEWITT__VICTORIA,DEWITT,VICTORIA,2,34.726891027084115,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DICKENS__KENT,DICKENS,KENT,3,53.197003999877815,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
DICKENS__KING,DICKENS,KING,2,47.65628678136882,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
DICKENS__MOTLEY,DICKENS,MOTLEY,3,38.66918520784613,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
DONLEY__GRAY,DONLEY,GRAY,1,39.4593735055032,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ECTOR__MIDLAND,ECTOR,MIDLAND,6,39.11402968370985,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ELLIS__HILL,ELLIS,HILL,3,58.80770883137467,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ELLIS__JOHNSON,ELLIS,JOHNSON,3,22.69810373456181,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ELLIS__NAVARRO,ELLIS,NAVARRO,4,56.78432159480428,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
ELLIS__TARRANT,ELLIS,TARRANT,4,17.251705037745644,345.0,2018,40.98025,2.0,41.0,1,0.04878048780487805,0,1
ERATH__HOOD,ERATH,HOOD,1,30.27702962759577,345.0,2018,31957.45131,924.0,1316.0,1,0.7021276595744681,1,1
FALLS__LIMESTONE,FALLS,LIMESTONE,1,26.939212183639317,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FALLS__MCLENNAN,FALLS,MCLENNAN,3,24.29907659824983,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FANNIN__GRAYSON,FANNIN,GRAYSON,3,96.30031945779945,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FANNIN__LAMAR,FANNIN,LAMAR,2,74.2534968051628,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FAYETTE__LEE,FAYETTE,LEE,1,16.61950694112846,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FISHER__JONES,FISHER,JONES,4,40.42125339459078,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FISHER__NOLAN,FISHER,NOLAN,2,25.26442118849712,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FISHER__SCURRY,FISHER,SCURRY,6,51.9713190772851,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FLOYD__HALE,FLOYD,HALE,1,51.96496251259913,345.0,2018,43411.607671,1466.0,3230.6,1,0.4537856744877113,1,1
FLOYD__MOTLEY,FLOYD,MOTLEY,3,38.26620407577598,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FOARD__HARDEMAN,FOARD,HARDEMAN,2,44.37170985570528,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FOARD__KNOX,FOARD,KNOX,2,65.9811643397139,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FOARD__WILBARGER,FOARD,WILBARGER,2,59.52559206276399,345.0,2018,0.0,0.0,0.0,0,0.0,0,0
FORT BEND__HARRIS,FORT BEND,HARRIS,7,32.85088840104628,345.0,2018,494.98974,46.0,328.0,1,0.1402439024390244,1,1
